Operation,Request time,Response time
GetTrackingData,1/1/2023 10:00:23.000,1/1/2023 10:00:23.300
SetPayment,1/1/2023 10:13:14.230,1/1/2023 10:13:15.697
SetPayment,1/1/2023 10:26:05.460,1/1/2023 10:26:06.410
GetPaymentMethods,1/1/2023 10:38:56.690,1/1/2023 10:38:57.057
SetDeliveryAddress,1/1/2023 10:51:47.920,1/1/2023 10:51:48.620
ModifyOrder,1/1/2023 11:04:39.150,1/1/2023 11:04:46.283
GetItem,1/1/2023 11:17:30.380,1/1/2023 11:17:30.397
GetPaymentMethods,1/1/2023 11:30:21.610,1/1/2023 11:30:23.000
GetPaymentMethods,1/1/2023 11:43:12.840,1/1/2023 11:43:13.140
AddItemToOrder,1/1/2023 11:56:04.070,1/1/2023 11:56:05.087
SetDeliveryAddress,1/1/2023 12:08:55.300,1/1/2023 12:08:56.600
GetPaymentMethods,1/1/2023 12:21:46.530,1/1/2023 12:21:46.663
GetItem,1/1/2023 12:34:37.760,1/1/2023 12:34:37.810
SetPayment,1/1/2023 12:47:28.990,1/1/2023 12:47:29.557
GetPaymentMethods,1/1/2023 13:00:20.220,1/1/2023 13:00:21.003
ModifyItem,1/1/2023 13:13:11.450,1/1/2023 13:13:14.733
ModifyItem,1/1/2023 13:26:02.680,1/1/2023 13:26:03.180
ModifyOrder,1/1/2023 13:38:53.910,1/1/2023 13:38:55.210
GetPaymentMethods,1/1/2023 13:51:45.140,1/1/2023 13:51:45.223
GetItem,1/1/2023 14:04:36.370,1/1/2023 14:04:37.820
GetPaymentMethods,1/1/2023 14:17:27.600,1/1/2023 14:17:28.900
GetTrackingData,1/1/2023 14:30:18.830,1/1/2023 14:30:19.530
ModifyItem,1/1/2023 14:43:10.060,1/1/2023 14:43:17.510
ModifyItem,1/1/2023 14:56:01.290,1/1/2023 14:56:04.423
AddItemToOrder,1/1/2023 15:08:52.520,1/1/2023 15:08:52.570
GetOrder,1/1/2023 15:21:43.750,1/1/2023 15:21:44.083
GetOrder,1/1/2023 15:34:34.980,1/1/2023 15:34:35.880
GetPaymentMethods,1/1/2023 15:47:26.210,1/1/2023 15:47:26.477
GetOrderList,1/1/2023 16:00:17.440,1/1/2023 16:00:17.890
GetOrder,1/1/2023 16:13:08.670,1/1/2023 16:13:09.953
GetOrder,1/1/2023 16:25:59.900,1/1/2023 16:26:00.883
GetItemList,1/1/2023 16:38:51.130,1/1/2023 16:38:51.663
ModifyOrder,1/1/2023 16:51:42.360,1/1/2023 16:51:48.960
SendNotification,1/1/2023 17:04:33.590,1/1/2023 17:04:34.757
GetTrackingData,1/1/2023 17:17:24.820,1/1/2023 17:17:25.237
GetPaymentList,1/1/2023 17:30:16.050,1/1/2023 17:30:16.983
SendNotification,1/1/2023 17:43:07.280,1/1/2023 17:43:08.697
GetTrackingData,1/1/2023 17:55:58.510,1/1/2023 17:56:00.127
GetTrackingData,1/1/2023 18:08:49.740,1/1/2023 18:08:50.423
GetItem,1/1/2023 18:21:40.970,1/1/2023 18:21:41.070
GetTrackingData,1/1/2023 18:34:32.200,1/1/2023 18:34:32.483
GetOrder,1/1/2023 18:47:23.430,1/1/2023 18:47:24.097
GetOrderList,1/1/2023 19:00:14.660,1/1/2023 19:00:14.943
AddItemToOrder,1/1/2023 19:13:05.890,1/1/2023 19:13:06.507
SendNotification,1/1/2023 19:25:57.120,1/1/2023 19:25:57.653
ModifyOrder,1/1/2023 19:38:48.350,1/1/2023 19:38:55.367
SendNotification,1/1/2023 19:51:39.580,1/1/2023 19:51:40.697
SetPayment,1/1/2023 20:04:30.810,1/1/2023 20:04:31.827
GetItemList,1/1/2023 20:17:22.040,1/1/2023 20:17:22.857
GetItemList,1/1/2023 20:30:13.270,1/1/2023 20:30:13.537
GetOrder,1/1/2023 20:43:04.500,1/1/2023 20:43:05.433
GetOrder,1/1/2023 20:55:55.730,1/1/2023 20:55:56.730
GetOrderList,1/1/2023 21:08:46.960,1/1/2023 21:08:48.410
GetTrackingData,1/1/2023 21:21:38.190,1/1/2023 21:21:39.357
GetPaymentList,1/1/2023 21:34:29.420,1/1/2023 21:34:29.637
GetTrackingData,1/1/2023 21:47:20.650,1/1/2023 21:47:22.317
ModifyOrder,1/1/2023 22:00:11.880,1/1/2023 22:00:16.347
GetItem,1/1/2023 22:13:03.110,1/1/2023 22:13:03.310
GetOrderList,1/1/2023 22:25:54.340,1/1/2023 22:25:54.507
ModifyOrder,1/1/2023 22:38:45.570,1/1/2023 22:38:50.353
Login,1/1/2023 22:51:36.800,1/1/2023 22:51:37.283
GetPaymentMethods,1/1/2023 23:04:28.030,1/1/2023 23:04:28.130
GetTrackingData,1/1/2023 23:17:19.260,1/1/2023 23:17:20.910
GetPaymentMethods,1/1/2023 23:30:10.490,1/1/2023 23:30:10.623
SetPayment,1/1/2023 23:43:01.720,1/1/2023 23:43:02.703
AddItemToOrder,1/1/2023 23:55:52.950,1/1/2023 23:55:53.650
GetTrackingData,2/1/2023 00:08:44.180,2/1/2023 00:08:45.447
ModifyOrder,2/1/2023 00:21:35.410,2/1/2023 00:21:41.043
GetOrder,2/1/2023 00:34:26.640,2/1/2023 00:34:27.823
SetPayment,2/1/2023 00:47:17.870,2/1/2023 00:47:19.220
SetPayment,2/1/2023 01:00:09.100,2/1/2023 01:00:09.583
SetDeliveryAddress,2/1/2023 01:13:00.330,2/1/2023 01:13:00.613
GetPaymentList,2/1/2023 01:25:51.560,2/1/2023 01:25:52.860
Login,2/1/2023 01:38:42.790,2/1/2023 01:38:43.857
SendNotification,2/1/2023 01:51:34.020,2/1/2023 01:51:34.353
GetItem,2/1/2023 02:04:25.250,2/1/2023 02:04:26.883
GetItem,2/1/2023 02:17:16.480,2/1/2023 02:17:17.947
SetPayment,2/1/2023 02:30:07.710,2/1/2023 02:30:09.327
GetOrder,2/1/2023 02:42:58.940,2/1/2023 02:42:59.223
GetOrderList,2/1/2023 02:55:50.170,2/1/2023 02:55:50.970
SetPayment,2/1/2023 03:08:41.400,2/1/2023 03:08:42.083
GetOrder,2/1/2023 03:21:32.630,2/1/2023 03:21:33.563
